session_id,user_id,charger_id,start_time,end_time,cpu_percent,packets_per_sec,memory_percent,energy_kwh,payment_amount,mac_address,session_duration_min,billing_flag,multi_user_flag,session_hijack_flag,anomaly_type,start_hour
S188,U4,C13,2025-09-29 17:34:00,2025-09-29 18:04:00,0.07,44,0.23,14.1,141.0,MAC_4,30.0,0,0,0,None,17
S189,U17,C16,2025-09-29 17:48:00,2025-09-29 19:13:00,0.04,33,0.2,41.25,412.5,MAC_17,85.0,0,0,0,None,17
S190,U38,C16,2025-09-29 18:02:00,2025-09-29 19:10:00,0.03,48,0.27,32.17,321.7,MAC_38,68.0,0,0,0,None,18
S191,U26,C13,2025-09-29 18:14:00,2025-09-29 19:35:00,0.04,50,0.17,38.77,387.7,MAC_26,81.0,0,0,0,None,18
S192,U2,C17,2025-09-29 18:28:00,2025-09-29 19:33:00,0.03,51,0.27,31.05,310.5,MAC_2,65.0,0,0,0,None,18
S193,U12,C1,2025-09-29 18:41:00,2025-09-29 19:40:00,0.06,53,0.19,27.93,279.3,MAC_12,59.0,0,0,0,None,18
S194,U29,C15,2025-09-29 18:59:00,2025-09-29 19:47:00,0.03,48,0.27,22.56,225.6,MAC_29,48.0,0,0,0,None,18
S195,U43,C13,2025-09-29 19:09:00,2025-09-29 19:43:00,0.05,53,0.16,16.02,160.2,MAC_43,34.0,0,0,0,None,19
S196,U33,C13,2025-09-29 19:22:00,2025-09-29 20:34:00,0.03,40,0.24,34.56,345.6,MAC_33,72.0,0,0,0,None,19
S197,U13,C18,2025-09-29 19:38:00,2025-09-29 20:59:00,0.04,41,0.25,38.77,387.7,MAC_13,81.0,0,0,0,None,19
S198,U3,C8,2025-09-29 19:59:00,2025-09-29 20:25:00,0.04,33,0.2,12.22,122.2,MAC_3,26.0,0,0,0,None,19
S199,U15,C8,2025-09-29 20:10:00,2025-09-29 20:49:00,0.05,58,0.24,18.72,187.2,MAC_15,39.0,0,0,0,None,20
